project,slot,width,height,short_edge,drive_filename
av-republica,01,2048,2868,2048,""
av-republica,02,2048,2048,2048,""
av-republica,03,2048,2868,2048,""
av-republica,04,2048,2868,2048,""
av-republica,05,1143,1600,1143,"ViterboAvRepublica0666.jpg"
av-republica,06,1143,1600,1143,"ViterboAvRepublica1113.jpg"
av-republica,07,1143,1600,1143,"ViterboAvRepublica0807.jpg"
av-republica,08,1600,1067,1067,"ViterboAvRepublica0732.jpg"
av-republica,09,1143,1600,1143,"ViterboAvRepublica0776.jpg"
av-republica,10,1067,1600,1067,"ViterboAvRepublica1098.jpg"
av-republica,hero,2048,3072,2048,""
bangkok-estate,01,1068,1600,1068,"Viterbo_15_04_197085-finals Edit.jpg"
bangkok-estate,02,1600,1191,1191,"Viterbo_16_04_197251-finals edit.jpg"
bangkok-estate,03,1600,1068,1068,"Viterbo_16_04_197350-finals.jpg"
bangkok-estate,04,1600,1068,1068,"Viterbo_16_04_197572-finals.jpg"
bangkok-estate,05,1600,1068,1068,"Viterbo_18_04_197964.jpg"
bangkok-estate,06,1167,1600,1167,"Viterbo_17_04_197691_.jpg"
bangkok-estate,07,1600,1068,1068,"Viterbo_18_04_198042_.jpg"
bangkok-estate,08,1600,1068,1068,"Viterbo_18_04_198227.jpg"
bangkok-estate,09,1068,1600,1068,"Viterbo_18_04_197957.jpg"
bangkok-estate,10,1256,1600,1256,"Viterbo_17_04_197876.jpg"
bangkok-estate,attract,1600,1068,1068,"Viterbo_15_04_197039-finals Edit.jpg"
bangkok-estate,hero,1600,1068,1068,"Viterbo_15_04_197039-finals Edit.jpg"
birre-house,01,1221,1600,1221,"FAD-ViD-2603__(048)__17--PRESS--HiResEdit.jpg"
birre-house,02,1280,1600,1280,"FAD-ViD-2603__(040)__17--PRESS--HiResEdit.jpg"
birre-house,03,1229,1600,1229,"FAD-ViD-2603__(057)__18--PRESS--HiResEdit.jpg"
birre-house,04,1222,1600,1222,"FAD-ViD-2603__(071)__17--PRESS--HiResEdit.jpg"
birre-house,05,1222,1600,1222,"FAD-ViD-2603__(052)__18--PRESS--HiResEdit.jpg"
